ID	label	region	name	name_full	hemi	color	key_L1	name_L1	key_L2	name_L2	key_L3	name_L3
1199	cortex_lh_STGc	cortex	STGc	caudal_superior_temporal_gyrus (STGc)	lh	#FFFC3B	1138	Temporal_Lobe (Temporal)	1193	superior_temporal_region (STG/STSd)	1199	caudal_superior_temporal_gyrus (STGc)
1206	cortex_lh_lat_belt	cortex	lat_belt	lateral_belt_areas (lat_belt)	lh	#D9B100	1138	Temporal_Lobe (Temporal)	1204	core_and_belt_areas_of_auditory_cortex (core/belt)	1205	belt_areas_of_auditory_cortex (belt)
1213	cortex_lh_med_belt	cortex	med_belt	medial_belt_areas (med_belt)	lh	#805B39	1138	Temporal_Lobe (Temporal)	1204	core_and_belt_areas_of_auditory_cortex (core/belt)	1205	belt_areas_of_auditory_cortex (belt)
1218	cortex_lh_RTp	cortex	RTp	polar_rostrotemporal_cortex (RTp)	lh	#D48A00	1138	Temporal_Lobe (Temporal)	1204	core_and_belt_areas_of_auditory_cortex (core/belt)	1218	polar_rostrotemporal_cortex (RTp)
1219	cortex_lh_core	cortex	core	core_areas_of_auditory_cortex (core)	lh	#FFC800	1138	Temporal_Lobe (Temporal)	1204	core_and_belt_areas_of_auditory_cortex (core/belt)	1219	core_areas_of_auditory_cortex (core)
1225	cortex_lh_Ins/Pi	cortex	Ins/Pi	insula_and_parainsula (Ins/Pi)	lh	#FF9F73	1138	Temporal_Lobe (Temporal)	1224	floor_of_the_lateral_sulcus (floor_of_ls)	1224	floor_of_the_lateral_sulcus (floor_of_ls)
1230	cortex_lh_Ri	cortex	Ri	retroinsula (Ri)	lh	#FFB18C	1138	Temporal_Lobe (Temporal)	1224	floor_of_the_lateral_sulcus (floor_of_ls)	1224	floor_of_the_lateral_sulcus (floor_of_ls)
1232	cortex_lh_MT	cortex	MT	middle_temporal_area (MT)	lh	#FF583B	1231	Occipital_Lobe (Occipital)	1232	middle_temporal_area (MT)	1232	middle_temporal_area (MT)
1234	cortex_lh_V4	cortex	V4	visual_area_4 (V4)	lh	#BF4900	1231	Occipital_Lobe (Occipital)	1233	extrastriate_visual_areas_2-4 (V2-V4)	1234	visual_area_4 (V4)
1238	cortex_lh_V3	cortex	V3	visual_area_3 (V3)	lh	#9E0300	1231	Occipital_Lobe (Occipital)	1233	extrastriate_visual_areas_2-4 (V2-V4)	1237	preoccipital_visual_areas_2-3 (V2-V3)
1243	cortex_lh_V2	cortex	V2	visual_area_2 (V2)	lh	#FFC273	1231	Occipital_Lobe (Occipital)	1233	extrastriate_visual_areas_2-4 (V2-V4)	1237	preoccipital_visual_areas_2-3 (V2-V3)
1246	cortex_lh_V1	cortex	V1	primary_visual_cortex (V1)	lh	#FFFFBF	1231	Occipital_Lobe (Occipital)	1246	primary_visual_cortex (V1)	1246	primary_visual_cortex (V1)
504	subcortex_rh_Cl	subcortex	Cl	claustrum (Cl)	rh	#BF9D2C	1	telencephalon (tel)	2	lateral_and_ventral_pallium (LVPal)	3	lateral_pallium (LPal)
506	subcortex_rh_En	subcortex	En	endopiriform_claustrum (En)	rh		1	telencephalon (tel)	2	lateral_and_ventral_pallium (LVPal)	5	ventral_pallium (VPal)
509	subcortex_rh_Pir	subcortex	Pir	piriform_cortex (Pir)	rh		1	telencephalon (tel)	2	lateral_and_ventral_pallium (LVPal)	5	ventral_pallium (VPal)
511	subcortex_rh_HF	subcortex	HF	hippocampal_formation (HF)	rh		1	telencephalon (tel)	10	medial_pallium (MPal)	11	hippocampal_formation (HF)
515	subcortex_rh_f	subcortex	f	fornix (f)	rh		1	telencephalon (tel)	10	medial_pallium (MPal)	15	fornix (f)
518	subcortex_rh_vpAmy	subcortex	vpAmy	ventropallial_amygdala (vpAmy)	rh		1	telencephalon (tel)	16	amygdala (Amy)	17	pallial_amygdala (pAmy)
522	subcortex_rh_lpAmy	subcortex	lpAmy	lateropallial_amygdala (lpAmy)	rh		1	telencephalon (tel)	16	amygdala (Amy)	17	pallial_amygdala (pAmy)
533	subcortex_rh_stAmy	subcortex	stAmy	striatal_amygdala (stAmy)	rh		1	telencephalon (tel)	16	amygdala (Amy)	32	subpallial_amygdala (spAmy)
